Name,Date,Ecosistem,Site,Zone,Transect,Cuadrant,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,459,836,Dictyota,arlenerodriguez,2024-02-06 06:46:53+00:00,Dictyota,79,Turf_sand,2,*TURFH,2,TurfDicSed,2,Th+sed,1
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,452,2949,Dictyota,arlenerodriguez,2024-02-06 06:46:53+00:00,Dictyota,34,TurfDicSed,27,Turf_sand,11,Th+sed,2,*TURFH,2
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,879,640,Dictyota,arlenerodriguez,2024-02-06 06:46:53+00:00,Dictyota,82,Th+sed,1,*TURFH,1,Turf_sand,1,TurfDicSed,1
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1036,1182,Turf_sand,arlenerodriguez,2024-02-06 06:46:53+00:00,Turf_sand,67,TurfDicSed,9,Dictyota,3,Sand,2,UNIden,2
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1024,2210,Dictyota,arlenerodriguez,2024-02-06 06:46:53+00:00,Dictyota,82,Sand,1,Th+sed,1,Turf_sand,1,*TURFH,1
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,814,2101,Dictyota,arlenerodriguez,2024-02-06 06:46:53+00:00,Dictyota,82,TurfDicSed,1,Th+sed,1,*TURFH,1,Turf_sand,1
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1277,1485,Dictyota,arlenerodriguez,2024-02-06 06:46:54+00:00,Dictyota,82,Sand,1,Th+sed,1,Turf_sand,1,*TURFH,1
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1758,2114,Dictyota,arlenerodriguez,2024-02-06 06:46:54+00:00,Dictyota,82,Sand,1,Th+sed,1,*TURFH,1,Turf_sand,1
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1615,2140,Dictyota,arlenerodriguez,2024-02-06 06:46:54+00:00,Dictyota,82,Sand,1,Th+sed,1,Turf_sand,1,*TURFH,1
BajoCalderoncontrol-T1GOPR0600.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,2078,2372,Dictyota,arlenerodriguez,2024-02-06 06:46:54+00:00,Dictyota,82,Sand,1,Th+sed,1,*TURFH,1,Turf_sand,1
BajoCalderoncontrol-T1GOPR0601.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,704,1023,Turf_sand,arlenerodriguez,2024-02-06 06:47:43+00:00,Turf_sand,81,Dictyota,3,Sand,1,TurfDicSed,1,*TURFH,1
BajoCalderoncontrol-T1GOPR0601.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,673,1707,SMB,arlenerodriguez,2024-02-06 06:47:43+00:00,Sand,81,Dictyota,2,Th+sed,1,*TURFH,1,Turf_sand,1
BajoCalderoncontrol-T1GOPR0601.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,894,1660,SMB,arlenerodriguez,2024-02-06 06:47:43+00:00,UNIden,57,Sand,5,Dictyota,4,ROSP,3,DeadAlg,3
BajoCalderoncontrol-T1GOPR0601.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1218,713,Turf_sand,arlenerodriguez,2024-02-06 06:47:43+00:00,Turf_sand,81,Dictyota,2,TurfDicSed,1,Th+sed,1,*TURFH,1
BajoCalderoncontrol-T1GOPR0601.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1485,1169,ENSP,arlenerodriguez,2024-02-06 06:47:43+00:00,Turf_sand,55,Dictyota,19,TurfDicSed,5,Th+sed,2,*TURFH,2
BajoCalderoncontrol-T1GOPR0601.JPG,,"reef,barrier",sheltered,bank,T1,,,16.00178,-86.00432,,,,,,,,Trujillo,1358,2196,ENSP,arlenerodriguez,2024-02-06 06:47:44+00:00,Dictyota,77,*TURFH,3,TurfDicSed,2,Turf_sand,2,ROSP,2
